OBJECTID,contract date,sub decree date,Name,year of establishment,Inside PA?,PA name,current designation,previous designation,Change des?,Original establishment Year,Area m sq,area ha,Shape_Length,Shape_Area
132, , ,PDA (Cambodia),2009,N, , , , ,0,69685631.98,6968.563198,35352.02528,69685631.98
133, , ,Kamadhenu Ventures (Cambodia),2009,N,Sambor Wildlife Sanctuary,Wildlife Sanctuary, , ,2018,89906305.94,8990.630594,43966.54288,89906305.94
134, , ,Grandis Timber,2009,N, , , , ,0,127384059.6,12738.40596,80626.61112,127384059.6
27,12/3/2010,Not found, ,2010,Y,Protected Landscape Banteay Chmar,Protected Landscape, , ,1993,11137145.76,1113.714576,14514.63763,11137145.76
135, , ,N.K Ventures (Cambodia),2010,N, , , , ,0,13019185.39,1301.918539,15448.39308,13019185.39
136, , ,Dong Nai,2010,N, , , , ,0,25291545.56,2529.154556,29483.10973,25291545.56
137, , ,Dong Phu,2010,N, , , , ,0,4931670.138,493.1670138,10504.19061,4931670.138
138, , ,Bean Heak,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,43888800.87,4388.880087,28280.0003,43888800.87
139, , ,CRCK 2,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,75427428.95,7542.742895,35475.1688,75427428.95
140, , ,Great Field,2010,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,89604390.53,8960.439053,61103.37824,89604390.53
141, , ,China Dynamic Investment,2010,N, , , , ,0,86728838.66,8672.883866,50272.14506,86728838.66
142, , ,Mohypa Masu Orn Kampuchea,2010,N, , , , ,0,85617595.48,8561.759548,40976.6708,85617595.48
143, , ,C & V Group,2010,N, , , , ,0,84243337.91,8424.333791,45779.72064,84243337.91
144, , ,Yellow Field,2010,N,Southern Cardamom Mountains National Park,National Park, , ,2016,84499663.4,8449.96634,47796.29252,84499663.4
145, , ,CHPB Development,2010,N,Prey Lang Wildlife Sanctuary,Wildlife Sanctuary, , ,2016,122002960.2,12200.29602,49043.20667,122002960.2
146, , ,Chhun Hong Rubber Better,2010,N,Prey Lang Wildlife Sanctuary,Wildlife Sanctuary, , ,2016,120825952.6,12082.59526,53434.63003,120825952.6
147, , ,Phnom Penh Sugar,2010,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,120561961.8,12056.19618,46116.06547,120561961.8
148, , ,Kampong Speu Sugar,2010,Y,Phnom Aural Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,119889113.7,11988.91137,54575.03857,119889113.7
149, , ,Sethikula - SOCFIN KCD,2010,Y,Phnom Namlear Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,42930732.39,4293.073239,43823.61203,42930732.39
150, , ,Krong Buk - Ratanakiri Rubber,2010,N, , , , ,0,106224158.1,10622.41581,56855.45336,106224158.1
151, , ,LYP Group,2010,Y,Botum Sakor National Park,National Park,National Park,N,1993,40974852.88,4097.485288,26599.80299,40974852.88
152, , ,Hua Lin (Cambodia) International Insurance,2010,N, , , , ,0,114691027.7,11469.10277,86103.55389,114691027.7
153, , ,CRCK 1,2010,N,Prey Lang Wildlife Sanctuary,Wildlife Sanctuary, , ,2016,67712391.3,6771.23913,71708.34808,67712391.3
154, , ,CamTree,2010,N, , , , ,0,29313741.2,2931.37412,41573.75511,29313741.2
155, , ,CCV,2010,N, , , , ,0,88466666.03,8846.666603,67677.75504,88466666.03
156, , ,PNT,2010,N,Prey Lang Wildlife Sanctuary,Wildlife Sanctuary, , ,2016,109807444.9,10980.74449,61532.74223,109807444.9
157, , ,Caoutchouc Mekong,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,88924761.02,8892.476102,45589.97397,88924761.02
158, , ,MDS Import Export,2010,Y,Phnom Samkos Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1994,20230842.53,2023.084253,29000.41818,20230842.53
159, , ,Trach Nhiem Han Dau,2010,Y,Keo Seima Wildlife Sanctuary,Wildlife Sanctuary, , ,2004,45216379.04,4521.637904,53351.58082,45216379.04
160, , ,Vietnam Kampuchia Economic Trade and Industry (VKETI),2010,Y,Keo Seima Wildlife Sanctuary,Wildlife Sanctuary, , ,2004,49514603.58,4951.460358,30319.04817,49514603.58
161, , ,Sovann Reachsey,2010,Y,Keo Seima Wildlife Sanctuary,Wildlife Sanctuary, , ,2004,65371319.75,6537.131975,48058.07831,65371319.75
162, , ,An Mady Group,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,101344026.8,10134.40268,45223.87449,101344026.8
163, , ,C.A.D.I,2010,Y,Beng Per Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,82195405.43,8219.540543,42278.0252,82195405.43
164, , ,TTY,2010,Y,Snuol Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,94932856.33,9493.285633,57473.47881,94932856.33
165, , ,Memot Rubber Plantation,2010,Y,Snuol Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,98236106.46,9823.610646,73271.77623,98236106.46
166, , ,MDS Thmor Da SEZ,2010,Y,Phnom Samkos Wildlife Sanctuary,Wildlife Sanctuary, , ,1994,26668862.82,2666.886282,38643.31468,26668862.82
167, , ,N.K Agri (Cambodia),2010,N, , , , ,0,116656236.9,11665.62369,55702.93508,116656236.9
