OBJECTID,Join_Count,TARGET_FID,JOIN_FID,Current_name,category,Previous_name,Original_designation,Change_des?,Original_establishment_year,Dataset_area_ha,calculated_area_ha,Province,District,Commune,reference,last_upd_1,language_1,contract_date,sub_decree_date,Name,year_establishment,Inside_PA,PA_name,current_designation,previous designation,Change_des,Original_establishment_Year2,Area_msq,area_ha,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
39,1,13,82,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Serey Mony Transportation & Construction,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,73947372.3,7394.73723,51742.75729,73947372.3,352041.066,4070704851
40,1,13,86,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Hout Meng Rita,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,29507337.41,2950.733741,22561.80409,29507337.41,352041.066,4070704851
41,1,13,90,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Excel Cator Plantation,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,74723143.31,7472.314331,39133.39159,74723143.31,352041.066,4070704851
42,1,13,91,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Nature Plantation (H.K.),2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,90191789.51,9019.178951,59889.21791,90191789.51,352041.066,4070704851
43,1,13,94,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Best Royal (K),2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,81159274.21,8115.927421,43858.80726,81159274.21,352041.066,4070704851
44,1,13,95,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Tay Ninh - Siem Reap Rubber,2011,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,92274306.64,9227.430664,52680.40139,92274306.64,352041.066,4070704851
45,1,13,97,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Sok Samnang Development,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,21354775.8,2135.47758,27487.2779,21354775.8,352041.066,4070704851
46,1,13,98,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Hout Meng Rita,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,14235065.27,1423.506527,15245.89211,14235065.27,352041.066,4070704851
47,1,13,99,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Cambodia Blue Heaven,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary, , ,1993,91792774.71,9179.277471,59835.16173,91792774.71,352041.066,4070704851
48,1,13,100,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Kulen Promtep,Wildlife Sanctuary,N,1993,407070.485,"402,500","Siem Reap, Preah Vihear",Not found,Not found,Royal_Decree_on_Protected_Areas__01.11.1993.pdf,22/5/2014,English, , ,Lun Agritech Investment,2012,Y,Kulen Promtep Wildlife Sanctuary,Wildlife Sanctuary,Wildlife Sanctuary,N,1993,41143796.14,4114.379614,26356.59009,41143796.14,352041.066,4070704851
